LocationType,Location,TimeFrame,DataFormat,Data
County,Carlisle,2013,Number,<10
County,Carlisle,2014,Number,<10
County,Carlisle,2015,Number,<10
County,Carlisle,2016,Number,<10
County,Carlisle,2017,Number,<10
County,Carlisle,2018,Number,<10
County,Carlisle,2019,Number,20
County,Carlisle,2020,Number,35
County,Carlisle,2021,Number,37
County,Carlisle,2022,Number,34
County,Carroll,2001,Number,29
County,Carroll,2002,Number,47
County,Carroll,2003,Number,25
County,Carroll,2004,Number,59
County,Carroll,2005,Number,67
County,Carroll,2006,Number,83
County,Carroll,2007,Number,65
County,Carroll,2008,Number,48
County,Carroll,2009,Number,40
County,Carroll,2010,Number,49
County,Carroll,2011,Number,49
County,Carroll,2012,Number,0
County,Carroll,2013,Number,46
County,Carroll,2014,Number,53
County,Carroll,2015,Number,123
County,Carroll,2016,Number,168
County,Carroll,2017,Number,156
County,Carroll,2018,Number,156
County,Carroll,2019,Number,143
County,Carroll,2020,Number,113
County,Carroll,2021,Number,87
County,Carroll,2022,Number,75
County,Carter,2001,Number,202
County,Carter,2002,Number,276
County,Carter,2003,Number,304
County,Carter,2004,Number,429
County,Carter,2005,Number,397
County,Carter,2006,Number,392
County,Carter,2007,Number,367
County,Carter,2008,Number,279
County,Carter,2009,Number,187
County,Carter,2010,Number,146
County,Carter,2011,Number,137
County,Carter,2012,Number,176
County,Carter,2013,Number,104
County,Carter,2014,Number,73
County,Carter,2015,Number,76
County,Carter,2016,Number,67
County,Carter,2017,Number,49
County,Carter,2018,Number,22
County,Carter,2019,Number,51
County,Carter,2020,Number,47
County,Carter,2021,Number,56
County,Carter,2022,Number,89
County,Casey,2001,Number,107
County,Casey,2002,Number,155
County,Casey,2003,Number,124
County,Casey,2004,Number,152
County,Casey,2005,Number,174
County,Casey,2006,Number,160
County,Casey,2007,Number,167
County,Casey,2008,Number,125
County,Casey,2009,Number,128
County,Casey,2010,Number,136
County,Casey,2011,Number,138
County,Casey,2012,Number,125
County,Casey,2013,Number,104
County,Casey,2014,Number,82
County,Casey,2015,Number,92
County,Casey,2016,Number,91
County,Casey,2017,Number,82
County,Casey,2018,Number,101
County,Casey,2019,Number,176
County,Casey,2020,Number,158
County,Casey,2021,Number,128
County,Casey,2022,Number,128
County,Christian,2001,Number,1649
County,Christian,2002,Number,1588
County,Christian,2003,Number,1650
County,Christian,2004,Number,2453
County,Christian,2005,Number,2618
County,Christian,2006,Number,2645
County,Christian,2007,Number,2612
County,Christian,2008,Number,2253
County,Christian,2009,Number,2258
County,Christian,2010,Number,1944
County,Christian,2011,Number,1936
County,Christian,2012,Number,1832
County,Christian,2013,Number,1452
County,Christian,2014,Number,1221
County,Christian,2015,Number,1044
County,Christian,2016,Number,1058
County,Christian,2017,Number,962
County,Christian,2018,Number,1036
County,Christian,2019,Number,1166
County,Christian,2020,Number,1005
County,Christian,2021,Number,804
County,Christian,2022,Number,771
County,Clark,2001,Number,412
County,Clark,2002,Number,402
County,Clark,2003,Number,465
County,Clark,2004,Number,704
County,Clark,2005,Number,807
County,Clark,2006,Number,898
County,Clark,2007,Number,915
County,Clark,2008,Number,1033
County,Clark,2009,Number,1009
County,Clark,2010,Number,829
County,Clark,2011,Number,831
County,Clark,2012,Number,811
County,Clark,2013,Number,570
County,Clark,2014,Number,478
County,Clark,2015,Number,400
County,Clark,2016,Number,459
County,Clark,2017,Number,532
County,Clark,2018,Number,625
County,Clark,2019,Number,695
County,Clark,2020,Number,662
County,Clark,2021,Number,572
County,Clark,2022,Number,502
County,Clay,2001,Number,150
County,Clay,2002,Number,126
County,Clay,2003,Number,107
County,Clay,2004,Number,161
County,Clay,2005,Number,150
County,Clay,2006,Number,91
County,Clay,2007,Number,69
County,Clay,2008,Number,70
County,Clay,2009,Number,49
County,Clay,2010,Number,42
County,Clay,2011,Number,42
County,Clay,2012,Number,35
County,Clay,2013,Number,22
County,Clay,2014,Number,13
County,Clay,2015,Number,16
County,Clay,2016,Number,23
County,Clay,2017,Number,33
County,Clay,2018,Number,42
County,Clay,2019,Number,62
County,Clay,2020,Number,48
County,Clay,2021,Number,44
County,Clay,2022,Number,40
County,Clinton,2001,Number,79
County,Clinton,2002,Number,41
County,Clinton,2003,Number,79
County,Clinton,2004,Number,119
County,Clinton,2005,Number,139
County,Clinton,2006,Number,169
County,Clinton,2007,Number,135
County,Clinton,2008,Number,148
County,Clinton,2009,Number,133
County,Clinton,2010,Number,114
County,Clinton,2011,Number,82
County,Clinton,2012,Number,96
County,Clinton,2013,Number,40
County,Clinton,2014,Number,38
County,Clinton,2015,Number,34
County,Clinton,2016,Number,51
County,Clinton,2017,Number,48
County,Clinton,2018,Number,52
County,Clinton,2019,Number,70
County,Clinton,2020,Number,68
County,Clinton,2021,Number,74
County,Clinton,2022,Number,134
County,Crittenden,2001,Number,48
County,Crittenden,2002,Number,57
County,Crittenden,2003,Number,64
County,Crittenden,2004,Number,79
County,Crittenden,2005,Number,57
County,Crittenden,2006,Number,68
County,Crittenden,2007,Number,53
County,Crittenden,2008,Number,67
County,Crittenden,2009,Number,50
County,Crittenden,2010,Number,45
County,Crittenden,2011,Number,60
County,Crittenden,2012,Number,40
County,Crittenden,2013,Number,34
County,Crittenden,2014,Number,25
County,Crittenden,2015,Number,39
County,Crittenden,2016,Number,27
County,Crittenden,2017,Number,33
County,Crittenden,2018,Number,26
County,Crittenden,2019,Number,13
County,Crittenden,2020,Number,16
County,Crittenden,2021,Number,40
County,Crittenden,2022,Number,69
County,Cumberland,2001,Number,38
County,Cumberland,2002,Number,34
County,Cumberland,2003,Number,38
County,Cumberland,2004,Number,82
County,Cumberland,2005,Number,128
County,Cumberland,2006,Number,124
County,Cumberland,2007,Number,137
County,Cumberland,2008,Number,117
County,Cumberland,2009,Number,109
County,Cumberland,2010,Number,98
County,Cumberland,2011,Number,86
County,Cumberland,2012,Number,100
County,Cumberland,2013,Number,68
County,Cumberland,2014,Number,53
County,Cumberland,2015,Number,54
County,Cumberland,2016,Number,41
County,Cumberland,2017,Number,42
County,Cumberland,2018,Number,59
County,Cumberland,2019,Number,80
County,Cumberland,2020,Number,76
County,Cumberland,2021,Number,55
County,Cumberland,2022,Number,49
County,Daviess,2001,Number,1327
County,Daviess,2002,Number,1398
County,Daviess,2003,Number,1275
County,Daviess,2004,Number,1884
County,Daviess,2005,Number,1875
County,Daviess,2006,Number,1966
County,Daviess,2007,Number,1979
County,Daviess,2008,Number,1952
County,Daviess,2009,Number,1869
County,Daviess,2010,Number,1888
County,Daviess,2011,Number,1949
