LocationType,Location,TimeFrame,DataFormat,Data
School District,Bullitt Co.,2015,Rate,85.6
School District,Bullitt Co.,2016,Rate,88.4
School District,Bullitt Co.,2017,Rate,90.6
School District,Bullitt Co.,2018,Rate,89
School District,Bullitt Co.,2019,Rate,91.8
School District,Bullitt Co.,2020,Rate,90.9
School District,Bullitt Co.,2021,Rate,89.2
School District,Bullitt Co.,2022,Rate,91.5
School District,Bullitt Co.,2023,Rate,93
School District,Bullitt Co.,2024,Rate,95.5
School District,Burgin Ind.,2013,Rate,90.3
School District,Burgin Ind.,2014,Rate,92.1
School District,Burgin Ind.,2015,Rate,95.5
School District,Burgin Ind.,2016,Rate,93.2
School District,Burgin Ind.,2017,Rate,85.3
School District,Burgin Ind.,2018,Rate,93.9
School District,Burgin Ind.,2019,Rate,100
School District,Burgin Ind.,2020,Rate,93.1
School District,Burgin Ind.,2021,Rate,100
School District,Burgin Ind.,2022,Rate,100
School District,Burgin Ind.,2023,Rate,100
School District,Burgin Ind.,2024,Rate,100
School District,Butler Co.,2013,Rate,92
School District,Butler Co.,2014,Rate,90
School District,Butler Co.,2015,Rate,90.1
School District,Butler Co.,2016,Rate,84.9
School District,Butler Co.,2017,Rate,91
School District,Butler Co.,2018,Rate,93.7
School District,Butler Co.,2019,Rate,92.3
School District,Butler Co.,2020,Rate,96.8
School District,Butler Co.,2021,Rate,93.8
School District,Butler Co.,2022,Rate,91.6
School District,Butler Co.,2023,Rate,96
School District,Butler Co.,2024,Rate,95.8
School District,Caldwell Co.,2013,Rate,90.8
School District,Caldwell Co.,2014,Rate,91.9
School District,Caldwell Co.,2015,Rate,89.5
School District,Caldwell Co.,2016,Rate,90.6
School District,Caldwell Co.,2017,Rate,94.3
School District,Caldwell Co.,2018,Rate,94.7
School District,Caldwell Co.,2019,Rate,96.5
School District,Caldwell Co.,2020,Rate,99.3
School District,Caldwell Co.,2021,Rate,95.4
School District,Caldwell Co.,2022,Rate,97.4
School District,Caldwell Co.,2023,Rate,96.7
School District,Caldwell Co.,2024,Rate,91.7
School District,Calloway Co.,2013,Rate,93
School District,Calloway Co.,2014,Rate,94.3
School District,Calloway Co.,2015,Rate,94.7
School District,Calloway Co.,2016,Rate,97.5
School District,Calloway Co.,2017,Rate,95.4
School District,Calloway Co.,2018,Rate,96.7
School District,Calloway Co.,2019,Rate,94
School District,Calloway Co.,2020,Rate,96.3
School District,Calloway Co.,2021,Rate,93.7
School District,Calloway Co.,2022,Rate,93.6
School District,Calloway Co.,2023,Rate,93.5
School District,Calloway Co.,2024,Rate,92
School District,Campbell Co.,2013,Rate,93.7
School District,Campbell Co.,2014,Rate,96.8
School District,Campbell Co.,2015,Rate,94.7
School District,Campbell Co.,2016,Rate,95.1
School District,Campbell Co.,2017,Rate,97.3
School District,Campbell Co.,2018,Rate,97.2
School District,Campbell Co.,2019,Rate,97.2
School District,Campbell Co.,2020,Rate,98.2
School District,Campbell Co.,2021,Rate,97.8
School District,Campbell Co.,2022,Rate,97.2
School District,Campbell Co.,2023,Rate,96.4
School District,Campbell Co.,2024,Rate,97.3
School District,Campbellsville Ind.,2013,Rate,93.8
School District,Campbellsville Ind.,2014,Rate,91.2
School District,Campbellsville Ind.,2015,Rate,98.4
School District,Campbellsville Ind.,2016,Rate,98.3
School District,Campbellsville Ind.,2017,Rate,93.8
School District,Campbellsville Ind.,2018,Rate,95.7
School District,Campbellsville Ind.,2019,Rate,94.9
School District,Campbellsville Ind.,2020,Rate,94.5
School District,Campbellsville Ind.,2021,Rate,92.4
School District,Campbellsville Ind.,2022,Rate,75.8
School District,Campbellsville Ind.,2023,Rate,77.6
School District,Campbellsville Ind.,2024,Rate,91.4
School District,Carlisle Co.,2013,Rate,95.4
School District,Carlisle Co.,2014,Rate,82.1
School District,Carlisle Co.,2015,Rate,92.9
School District,Carlisle Co.,2016,Rate,90.4
School District,Carlisle Co.,2017,Rate,95.2
School District,Carlisle Co.,2018,Rate,94.6
School District,Carlisle Co.,2019,Rate,90.9
School District,Carlisle Co.,2020,Rate,97.1
School District,Carlisle Co.,2021,Rate,91.7
School District,Carlisle Co.,2022,Rate,85.4
School District,Carlisle Co.,2023,Rate,91.5
School District,Carlisle Co.,2024,Rate,92
School District,Carroll Co.,2013,Rate,88.4
School District,Carroll Co.,2014,Rate,90.1
School District,Carroll Co.,2015,Rate,95.2
School District,Carroll Co.,2016,Rate,90
School District,Carroll Co.,2017,Rate,97.6
School District,Carroll Co.,2018,Rate,94
School District,Carroll Co.,2019,Rate,85.1
School District,Carroll Co.,2020,Rate,94.6
School District,Carroll Co.,2021,Rate,90.8
School District,Carroll Co.,2022,Rate,87
School District,Carroll Co.,2023,Rate,92.6
School District,Carroll Co.,2024,Rate,94
School District,Carter Co.,2013,Rate,96.6
School District,Carter Co.,2014,Rate,97.6
School District,Carter Co.,2015,Rate,98.8
School District,Carter Co.,2016,Rate,98.2
School District,Carter Co.,2017,Rate,100
School District,Carter Co.,2018,Rate,99.3
School District,Carter Co.,2019,Rate,97.1
School District,Carter Co.,2020,Rate,98.4
School District,Carter Co.,2021,Rate,97.4
School District,Carter Co.,2022,Rate,98.3
School District,Carter Co.,2023,Rate,98.6
School District,Carter Co.,2024,Rate,97.9
School District,Casey Co.,2013,Rate,93.3
School District,Casey Co.,2014,Rate,93.6
School District,Casey Co.,2015,Rate,94.4
School District,Casey Co.,2016,Rate,97.4
School District,Casey Co.,2017,Rate,98.7
School District,Casey Co.,2018,Rate,98.3
School District,Casey Co.,2019,Rate,96.2
School District,Casey Co.,2020,Rate,91.9
School District,Casey Co.,2021,Rate,95.4
School District,Casey Co.,2022,Rate,91.3
School District,Casey Co.,2023,Rate,94.6
School District,Casey Co.,2024,Rate,94.2
School District,Caverna Ind.,2013,Rate,82.8
School District,Caverna Ind.,2014,Rate,80.4
School District,Caverna Ind.,2015,Rate,76.7
School District,Caverna Ind.,2016,Rate,82.7
School District,Caverna Ind.,2017,Rate,85.7
School District,Caverna Ind.,2018,Rate,90.4
School District,Caverna Ind.,2019,Rate,86.8
School District,Caverna Ind.,2020,Rate,94.4
School District,Caverna Ind.,2021,Rate,88.4
School District,Caverna Ind.,2022,Rate,80.4
School District,Caverna Ind.,2023,Rate,81.4
School District,Caverna Ind.,2024,Rate,88.5
School District,Christian Co.,2013,Rate,81.3
School District,Christian Co.,2014,Rate,83.6
School District,Christian Co.,2015,Rate,87.9
School District,Christian Co.,2016,Rate,92.2
School District,Christian Co.,2017,Rate,91.4
School District,Christian Co.,2018,Rate,90.9
School District,Christian Co.,2019,Rate,90.6
School District,Christian Co.,2020,Rate,93.1
School District,Christian Co.,2021,Rate,92.5
School District,Christian Co.,2022,Rate,90.2
School District,Christian Co.,2023,Rate,91.3
School District,Christian Co.,2024,Rate,89.5
School District,Clark Co.,2013,Rate,90.3
School District,Clark Co.,2014,Rate,93.4
School District,Clark Co.,2015,Rate,94.7
School District,Clark Co.,2016,Rate,94.3
School District,Clark Co.,2017,Rate,96.2
School District,Clark Co.,2018,Rate,98.5
School District,Clark Co.,2019,Rate,96.9
School District,Clark Co.,2020,Rate,97.1
School District,Clark Co.,2021,Rate,95.9
School District,Clark Co.,2022,Rate,94.4
School District,Clark Co.,2023,Rate,93.7
School District,Clark Co.,2024,Rate,94.5
School District,Clay Co.,2013,Rate,82.9
School District,Clay Co.,2014,Rate,89.1
School District,Clay Co.,2015,Rate,81.3
School District,Clay Co.,2016,Rate,79.8
School District,Clay Co.,2017,Rate,78.5
School District,Clay Co.,2018,Rate,83.3
School District,Clay Co.,2019,Rate,85.6
School District,Clay Co.,2020,Rate,87.8
School District,Clay Co.,2021,Rate,86.4
School District,Clay Co.,2022,Rate,85.8
School District,Clay Co.,2023,Rate,90.9
School District,Clay Co.,2024,Rate,89.1
School District,Clinton Co.,2013,Rate,82.4
School District,Clinton Co.,2014,Rate,87.1
School District,Clinton Co.,2015,Rate,90.7
School District,Clinton Co.,2016,Rate,95
School District,Clinton Co.,2017,Rate,97.7
School District,Clinton Co.,2018,Rate,96.7
School District,Clinton Co.,2019,Rate,94.2
School District,Clinton Co.,2020,Rate,93.8
School District,Clinton Co.,2021,Rate,96.6
School District,Clinton Co.,2022,Rate,96.8
School District,Clinton Co.,2023,Rate,95.7
School District,Clinton Co.,2024,Rate,94.7
School District,Cloverport Ind.,2013,Rate,76.2
School District,Cloverport Ind.,2014,Rate,100
School District,Cloverport Ind.,2015,Rate,100
School District,Cloverport Ind.,2016,Rate,100
School District,Cloverport Ind.,2017,Rate,100
School District,Cloverport Ind.,2018,Rate,89.3
School District,Cloverport Ind.,2019,Rate,100
School District,Cloverport Ind.,2020,Rate,100
School District,Cloverport Ind.,2021,Rate,96.2
School District,Cloverport Ind.,2022,Rate,85.7
School District,Cloverport Ind.,2023,Rate,100
School District,Cloverport Ind.,2024,Rate,74.2
School District,Corbin Ind.,2013,Rate,94.4
School District,Corbin Ind.,2014,Rate,96.7
School District,Corbin Ind.,2015,Rate,95.3
School District,Corbin Ind.,2016,Rate,97.6
School District,Corbin Ind.,2017,Rate,97.6
School District,Corbin Ind.,2018,Rate,95.8
School District,Corbin Ind.,2019,Rate,98.1
School District,Corbin Ind.,2020,Rate,98.3
School District,Corbin Ind.,2021,Rate,98.1
School District,Corbin Ind.,2022,Rate,95.8
